"","yearmonth","quarter","year","city","female1","female2","female3","female4","female5","female6","female7","female8","totalfemale","male1","male2","male3","male4","male5","male6","male7","male8","totalmale","totalcitypop"
"192","2016-12",4,2016,"Ødsted",23,30,112,54,129,242,110,26,726,31,35,121,59,111,257,96,21,731,1457
"193","2017-03",1,2017,"Vejle",937,884,3483,3028,5307,9114,4243,1617,28613,995,951,3619,3141,5647,8818,3636,944,27751,56364
"194","2017-03",1,2017,"Andkær",5,5,21,7,30,64,12,2,146,6,5,32,10,27,67,19,3,169,315
"195","2017-03",1,2017,"Bredal",16,15,66,14,58,109,33,8,319,5,15,70,27,47,130,27,3,324,643
"196","2017-03",1,2017,"Bredsten",28,20,156,53,119,281,118,63,838,10,29,167,74,95,281,122,34,812,1650
"197","2017-03",1,2017,"Brejning",44,43,204,116,219,544,226,44,1440,59,51,243,121,209,540,247,42,1512,2952
"198","2017-03",1,2017,"Børkop",107,102,471,182,477,874,411,128,2752,116,158,512,191,430,846,337,87,2677,5429
"199","2017-03",1,2017,"Egtved",37,24,143,64,162,362,232,147,1171,29,40,157,86,164,388,213,76,1153,2324
"200","2017-03",1,2017,"Gadbjerg",18,16,65,21,52,124,50,26,372,19,16,51,28,76,133,64,21,408,780
"201","2017-03",1,2017,"Give",55,72,289,166,336,773,477,248,2416,76,65,297,218,331,731,384,152,2254,4670
"202","2017-03",1,2017,"Givskud",8,11,31,28,45,94,49,19,285,13,14,39,23,58,110,52,15,324,609
"203","2017-03",1,2017,"Gravens/Ågård",16,18,94,47,81,235,97,43,631,13,20,133,63,89,239,104,21,682,1313
"204","2017-03",1,2017,"Grejs",15,22,96,43,78,185,80,17,536,19,23,114,48,73,174,65,17,533,1069
"205","2017-03",1,2017,"Gårslev",14,21,71,40,77,185,93,24,525,18,22,92,33,80,184,103,18,550,1075
"206","2017-03",1,2017,"Jelling",42,59,282,165,259,582,276,122,1787,50,59,303,185,213,582,224,76,1692,3479
"207","2017-03",1,2017,"Jerlev",12,10,56,25,47,123,59,9,341,16,17,46,28,54,121,58,7,347,688
"208","2017-03",1,2017,"Ny Højen",11,9,60,22,48,123,56,12,341,10,18,50,41,50,116,65,6,356,697
"209","2017-03",1,2017,"Nørup",5,14,54,33,58,123,54,23,364,11,18,51,33,70,111,70,7,371,735
"210","2017-03",1,2017,"Skibet",35,36,204,79,140,381,155,23,1053,30,33,226,81,123,361,141,25,1020,2073
"211","2017-03",1,2017,"Skærup",9,11,35,19,40,93,46,3,256,10,7,31,16,39,93,50,1,247,503
"212","2017-03",1,2017,"Smidstrup",10,13,64,26,73,125,37,37,385,17,8,81,26,76,146,42,14,410,795
"213","2017-03",1,2017,"Thyregod",23,26,102,54,109,214,92,42,662,23,27,103,59,131,237,87,30,697,1359
"214","2017-03",1,2017,"Vandel",10,14,60,37,63,134,53,16,387,16,13,56,31,73,139,60,13,401,788
"215","2017-03",1,2017,"Vonge",13,8,42,26,54,99,39,15,296,12,7,29,29,66,114,42,7,306,602
"216","2017-03",1,2017,"Ødsted",23,28,114,50,128,242,110,26,721,28,39,119,62,112,254,99,20,733,1454
"217","2017-06",2,2017,"Vejle",959,896,3468,3068,5333,9127,4238,1633,28722,993,944,3623,3102,5677,8847,3658,960,27804,56526
"218","2017-06",2,2017,"Andkær",6,4,21,7,31,62,13,3,147,6,5,28,10,25,65,20,3,162,309
"219","2017-06",2,2017,"Bredal",13,15,61,17,55,109,33,8,311,5,14,68,32,45,128,26,2,320,631
"220","2017-06",2,2017,"Bredsten",28,17,152,57,109,284,119,64,830,10,28,159,75,92,283,122,35,804,1634
"221","2017-06",2,2017,"Brejning",40,45,201,118,214,547,227,44,1436,56,55,239,124,213,536,246,41,1510,2946
"222","2017-06",2,2017,"Børkop",112,111,461,188,490,871,412,129,2774,113,159,525,194,426,846,337,94,2694,5468
"223","2017-06",2,2017,"Egtved",39,28,142,69,163,365,230,148,1184,32,41,158,100,168,393,208,80,1180,2364
"224","2017-06",2,2017,"Gadbjerg",19,15,66,27,53,124,49,25,378,20,14,51,31,77,132,64,22,411,789
"225","2017-06",2,2017,"Give",62,68,286,174,322,788,476,244,2420,75,67,291,223,337,730,393,151,2267,4687
"226","2017-06",2,2017,"Givskud",8,12,32,27,48,94,48,19,288,14,14,40,21,59,111,52,15,326,614
"227","2017-06",2,2017,"Gravens/Ågård",16,19,97,48,77,238,97,43,635,18,17,133,62,84,242,102,22,680,1315
"228","2017-06",2,2017,"Grejs",15,24,95,43,82,181,80,17,537,20,22,116,51,73,174,64,18,538,1075
"229","2017-06",2,2017,"Gårslev",15,18,73,36,79,178,96,24,519,16,22,91,36,81,182,101,19,548,1067
"230","2017-06",2,2017,"Jelling",41,58,284,177,250,594,275,125,1804,53,55,301,197,204,590,226,78,1704,3508
"231","2017-06",2,2017,"Jerlev",11,11,52,30,45,124,60,9,342,14,16,47,28,53,119,58,7,342,684
"232","2017-06",2,2017,"Ny Højen",11,8,59,26,47,123,53,13,340,12,15,52,41,49,120,67,6,362,702
"233","2017-06",2,2017,"Nørup",8,13,48,35,52,126,54,23,359,7,17,48,35,70,111,70,7,365,724
"234","2017-06",2,2017,"Skibet",33,39,198,85,142,383,157,23,1060,32,34,231,83,124,370,143,26,1043,2103
"235","2017-06",2,2017,"Skærup",8,9,37,18,40,91,46,3,252,11,7,29,21,37,93,48,1,247,499
"236","2017-06",2,2017,"Smidstrup",9,13,63,28,76,122,38,33,382,14,12,79,34,69,144,42,15,409,791
"237","2017-06",2,2017,"Thyregod",23,27,97,55,102,215,91,42,652,21,27,97,63,134,236,90,31,699,1351
"238","2017-06",2,2017,"Vandel",11,17,58,42,70,133,53,15,399,16,13,59,30,74,138,62,13,405,804
"239","2017-06",2,2017,"Vonge",16,7,43,26,58,94,42,15,301,13,10,29,27,69,109,44,8,309,610
"240","2017-06",2,2017,"Ødsted",20,28,118,46,127,241,108,28,716,27,40,121,57,109,250,102,21,727,1443
"241","2017-09",3,2017,"Vejle",958,904,3486,3060,5354,9139,4249,1659,28809,999,946,3638,3134,5701,8901,3676,956,27951,56760
"242","2017-09",3,2017,"Andkær",5,6,21,13,31,64,10,4,154,8,4,29,11,24,66,18,3,163,317
"243","2017-09",3,2017,"Bredal",14,16,58,18,57,109,34,8,314,5,12,70,25,49,127,26,2,316,630
"244","2017-09",3,2017,"Bredsten",26,19,146,62,111,287,117,66,834,10,24,163,72,92,286,122,34,803,1637
"245","2017-09",3,2017,"Brejning",45,44,195,110,223,555,229,47,1448,52,56,243,118,234,532,252,43,1530,2978
"246","2017-09",3,2017,"Børkop",105,105,463,184,491,865,409,134,2756,118,160,521,194,419,843,338,91,2684,5440
"247","2017-09",3,2017,"Egtved",40,27,142,74,167,366,231,143,1190,32,40,154,103,172,392,213,78,1184,2374
"248","2017-09",3,2017,"Gadbjerg",19,16,65,22,54,124,51,26,377,21,15,50,29,77,135,63,22,412,789
"249","2017-09",3,2017,"Give",66,66,289,165,331,777,474,247,2415,76,61,300,213,339,724,393,155,2261,4676
"250","2017-09",3,2017,"Givskud",9,10,33,26,47,94,48,17,284,14,13,38,20,59,112,49,17,322,606
"251","2017-09",3,2017,"Gravens/Ågård",16,17,97,42,76,246,96,41,631,20,17,131,68,86,242,103,20,687,1318
"252","2017-09",3,2017,"Grejs",18,24,101,41,86,181,80,15,546,21,21,114,52,74,176,64,17,539,1085
"253","2017-09",3,2017,"Gårslev",14,22,69,40,83,181,94,25,528,18,23,83,39,86,179,104,18,550,1078
"254","2017-09",3,2017,"Jelling",43,53,281,172,259,594,278,129,1809,56,55,305,192,212,593,229,81,1723,3532
"255","2017-09",3,2017,"Jerlev",11,9,50,31,46,123,58,8,336,13,16,49,23,51,121,59,5,337,673
"256","2017-09",3,2017,"Ny Højen",11,5,58,29,46,124,55,12,340,11,17,50,38,46,125,67,6,360,700
"257","2017-09",3,2017,"Nørup",7,14,50,37,54,125,52,22,361,7,19,45,33,69,111,70,8,362,723
"258","2017-09",3,2017,"Skibet",33,38,196,77,141,386,156,23,1050,34,34,228,82,126,367,146,26,1043,2093
"259","2017-09",3,2017,"Skærup",5,12,38,16,41,89,48,3,252,10,9,30,19,34,95,48,2,247,499
"260","2017-09",3,2017,"Smidstrup",10,11,66,26,76,124,40,29,382,10,11,80,33,63,146,40,14,397,779
"261","2017-09",3,2017,"Thyregod",23,26,101,57,110,218,95,44,674,22,25,97,68,135,241,90,31,709,1383
"262","2017-09",3,2017,"Vandel",10,18,58,40,68,134,55,15,398,15,15,57,31,71,141,62,13,405,803
"263","2017-09",3,2017,"Vonge",16,9,43,24,57,93,44,16,302,12,10,32,28,65,113,42,8,310,612
"264","2017-09",3,2017,"Ødsted",23,22,115,46,130,242,109,29,716,30,38,121,54,113,247,104,20,727,1443
"265","2017-12",4,2017,"Vejle",977,878,3508,3104,5364,9147,4276,1685,28939,1015,944,3648,3147,5729,8898,3679,961,28021,56960
"266","2017-12",4,2017,"Andkær",7,6,20,11,32,60,11,4,151,8,4,28,11,24,65,16,4,160,311
"267","2017-12",4,2017,"Bredal",12,19,59,18,57,110,31,8,314,5,12,70,24,43,130,26,2,312,626
"268","2017-12",4,2017,"Bredsten",22,19,146,63,107,294,118,66,835,12,21,161,73,88,291,124,34,804,1639
"269","2017-12",4,2017,"Brejning",46,44,193,115,221,560,231,47,1457,50,52,242,114,236,536,250,44,1524,2981
"270","2017-12",4,2017,"Børkop",105,113,466,182,494,862,419,130,2771,114,160,528,194,417,853,345,93,2704,5475
"271","2017-12",4,2017,"Egtved",43,28,141,76,172,366,234,139,1199,35,37,153,102,184,390,210,81,1192,2391
"272","2017-12",4,2017,"Gadbjerg",18,16,64,22,53,126,54,24,377,20,15,52,32,71,137,64,23,414,791
"273","2017-12",4,2017,"Give",67,65,291,169,329,769,469,252,2411,70,69,298,206,335,723,395,156,2252,4663
"274","2017-12",4,2017,"Givskud",11,11,30,25,45,94,52,17,285,13,16,34,21,59,112,50,17,322,607
"275","2017-12",4,2017,"Gravens/Ågård",15,18,96,48,76,248,98,42,641,22,18,132,76,87,242,102,23,702,1343
"276","2017-12",4,2017,"Grejs",22,25,99,40,86,182,79,16,549,22,22,105,54,78,176,65,16,538,1087
"277","2017-12",4,2017,"Gårslev",14,22,69,40,83,183,93,25,529,18,23,82,37,80,178,104,18,540,1069
"278","2017-12",4,2017,"Jelling",42,53,277,175,255,600,283,127,1812,52,54,300,197,212,598,226,80,1719,3531
"279","2017-12",4,2017,"Jerlev",12,10,49,25,48,122,58,6,330,12,14,49,23,53,120,57,5,333,663
"280","2017-12",4,2017,"Ny Højen",14,5,54,27,46,123,54,12,335,6,17,50,37,45,124,67,6,352,687
"281","2017-12",4,2017,"Nørup",7,11,52,36,48,125,54,22,355,7,20,42,37,69,109,73,8,365,720
"282","2017-12",4,2017,"Skibet",31,41,191,76,147,384,158,23,1051,35,36,224,89,133,364,149,25,1055,2106
"283","2017-12",4,2017,"Skærup",8,12,39,15,43,88,50,3,258,10,10,30,18,32,95,49,2,246,504
"284","2017-12",4,2017,"Smidstrup",11,9,65,25,68,122,42,26,368,9,9,77,33,63,144,39,15,389,757
"285","2017-12",4,2017,"Thyregod",22,25,102,58,107,217,97,43,671,20,26,94,67,134,240,90,32,703,1374
"286","2017-12",4,2017,"Vandel",9,20,56,39,67,133,58,15,397,15,15,52,37,70,142,63,14,408,805
"287","2017-12",4,2017,"Vonge",14,9,44,20,55,93,45,14,294,10,10,30,28,62,114,40,8,302,596
"288","2017-12",4,2017,"Ødsted",23,22,114,51,127,242,109,28,716,27,41,125,57,114,240,105,19,728,1444
"289","2018-03",1,2018,"Vejle",997,872,3503,3101,5399,9174,4303,1674,29023,1027,926,3630,3162,5722,8923,3689,962,28041,57064
"290","2018-03",1,2018,"Andkær",6,6,17,12,30,61,11,4,147,10,4,29,9,23,62,16,4,157,304
"291","2018-03",1,2018,"Bredal",12,20,60,17,51,117,30,8,315,8,7,71,26,42,133,29,2,318,633
"292","2018-03",1,2018,"Bredsten",25,24,140,62,105,294,118,65,833,12,23,156,73,91,295,119,35,804,1637
"293","2018-03",1,2018,"Brejning",40,43,193,112,211,555,236,43,1433,43,53,237,118,240,538,245,44,1518,2951
"294","2018-03",1,2018,"Børkop",102,121,467,182,499,869,418,134,2792,115,154,537,195,420,868,349,96,2734,5526
"295","2018-03",1,2018,"Egtved",39,29,144,76,178,363,234,145,1208,40,35,154,97,195,385,213,81,1200,2408
"296","2018-03",1,2018,"Gadbjerg",16,16,66,24,56,125,56,25,384,18,17,49,30,70,141,66,21,412,796
"297","2018-03",1,2018,"Give",60,66,287,158,330,764,469,259,2393,65,71,297,203,333,713,401,161,2244,4637
"298","2018-03",1,2018,"Givskud",13,11,30,24,49,95,52,18,292,13,18,35,19,59,109,51,17,321,613
"299","2018-03",1,2018,"Gravens/Ågård",10,23,95,43,77,245,101,42,636,24,16,131,73,82,242,102,23,693,1329
"300","2018-03",1,2018,"Grejs",23,25,99,38,84,184,80,16,549,21,19,106,53,78,174,68,16,535,1084
"301","2018-03",1,2018,"Gårslev",20,23,70,40,85,182,95,25,540,22,18,86,34,81,179,104,18,542,1082
"302","2018-03",1,2018,"Jelling",38,56,271,171,252,600,286,128,1802,48,59,301,193,218,599,229,82,1729,3531
"303","2018-03",1,2018,"Jerlev",12,10,47,27,50,119,59,6,330,11,12,51,22,52,120,57,6,331,661
"304","2018-03",1,2018,"Ny Højen",18,5,52,27,47,124,52,13,338,4,17,52,37,49,119,68,7,353,691
"305","2018-03",1,2018,"Nørup",7,10,49,35,47,124,52,22,346,6,17,41,34,68,105,71,9,351,697
"306","2018-03",1,2018,"Skibet",32,40,199,69,147,387,162,23,1059,34,39,217,92,136,367,146,28,1059,2118
"307","2018-03",1,2018,"Skærup",10,11,39,17,44,90,50,3,264,9,12,31,18,33,97,48,3,251,515
"308","2018-03",1,2018,"Smidstrup",11,8,63,26,70,119,46,26,369,12,9,74,35,57,149,40,16,392,761
"309","2018-03",1,2018,"Thyregod",24,26,106,53,111,226,93,46,685,19,26,98,65,133,247,90,31,709,1394
"310","2018-03",1,2018,"Vandel",10,18,56,34,67,127,60,14,386,13,15,49,38,69,139,63,14,400,786
"311","2018-03",1,2018,"Vonge",14,9,41,22,49,92,44,14,285,11,10,30,27,61,111,43,8,301,586
"312","2018-03",1,2018,"Ødsted",25,20,113,48,126,244,111,28,715,26,37,130,57,110,240,109,19,728,1443
"313","2018-06",2,2018,"Vejle",1018,851,3530,3090,5369,9209,4335,1670,29072,1016,956,3610,3182,5758,8955,3711,972,28160,57232
"314","2018-06",2,2018,"Andkær",7,3,20,13,29,61,13,4,150,10,5,30,10,25,61,14,6,161,311
"315","2018-06",2,2018,"Bredal",13,19,62,18,47,125,28,8,320,9,6,72,24,44,133,26,3,317,637
"316","2018-06",2,2018,"Bredsten",26,25,138,64,108,290,120,66,837,16,22,157,75,88,293,119,35,805,1642
"317","2018-06",2,2018,"Brejning",42,47,195,112,220,552,234,46,1448,47,51,233,123,232,539,240,46,1511,2959
"318","2018-06",2,2018,"Børkop",100,115,463,181,496,883,425,137,2800,114,153,540,196,417,868,354,97,2739,5539
"319","2018-06",2,2018,"Egtved",39,25,145,75,173,365,237,146,1205,39,33,155,99,184,394,212,81,1197,2402
"320","2018-06",2,2018,"Gadbjerg",10,17,65,25,52,125,57,26,377,16,16,50,29,66,139,64,20,400,777
"321","2018-06",2,2018,"Give",59,66,285,167,324,763,465,263,2392,63,71,292,205,329,723,399,162,2244,4636
"322","2018-06",2,2018,"Givskud",13,8,28,22,50,96,53,18,288,12,13,36,20,52,113,49,18,313,601
"323","2018-06",2,2018,"Gravens/Ågård",13,22,96,44,75,247,101,44,642,24,17,128,74,81,243,103,22,692,1334
"324","2018-06",2,2018,"Grejs",24,26,99,37,84,183,80,15,548,22,21,102,53,81,174,69,15,537,1085
"325","2018-06",2,2018,"Gårslev",24,22,73,37,84,181,94,28,543,24,12,92,37,77,181,102,19,544,1087
"326","2018-06",2,2018,"Jelling",33,56,269,164,253,604,293,129,1801,50,58,294,198,216,599,233,83,1731,3532
"327","2018-06",2,2018,"Jerlev",14,9,48,30,47,121,59,5,333,12,12,54,24,48,125,56,7,338,671
"328","2018-06",2,2018,"Ny Højen",18,5,52,32,48,125,51,12,343,9,15,53,37,52,119,68,7,360,703
"329","2018-06",2,2018,"Nørup",6,9,49,33,46,127,53,23,346,7,17,40,36,65,106,71,9,351,697
"330","2018-06",2,2018,"Skibet",31,40,199,72,143,392,157,27,1061,36,35,214,95,137,366,146,28,1057,2118
"331","2018-06",2,2018,"Skærup",12,9,41,15,44,91,49,2,263,9,14,31,15,34,98,48,3,252,515
"332","2018-06",2,2018,"Smidstrup",9,8,66,26,71,117,46,24,367,13,9,74,32,56,151,41,16,392,759
"333","2018-06",2,2018,"Thyregod",22,30,101,60,108,224,95,43,683,19,27,95,62,138,243,99,29,712,1395
"334","2018-06",2,2018,"Vandel",9,12,62,31,66,129,59,13,381,12,14,50,41,63,144,61,13,398,779
"335","2018-06",2,2018,"Vonge",13,12,37,26,47,92,45,14,286,10,11,29,25,67,108,45,7,302,588
"336","2018-06",2,2018,"Ødsted",25,24,115,50,121,248,110,28,721,26,36,135,55,112,243,108,19,734,1455
"337","2018-09",3,2018,"Vejle",1027,855,3535,2989,5410,9210,4367,1676,29069,1021,943,3631,3147,5783,8979,3722,974,28200,57269
"338","2018-09",3,2018,"Andkær",7,3,19,11,31,59,15,4,149,9,5,30,8,26,62,13,7,160,309
"339","2018-09",3,2018,"Bredal",12,17,64,21,50,124,26,10,324,10,4,76,25,43,135,28,3,324,648
"340","2018-09",3,2018,"Bredsten",27,25,137,60,107,290,124,63,833,16,22,157,67,88,295,120,35,800,1633
"341","2018-09",3,2018,"Brejning",43,53,189,119,224,553,235,49,1465,54,51,234,125,236,537,242,46,1525,2990
"342","2018-09",3,2018,"Børkop",96,119,463,179,501,888,430,139,2815,125,148,546,204,423,874,357,99,2776,5591
"343","2018-09",3,2018,"Egtved",35,30,141,70,175,361,234,148,1194,41,28,157,100,180,384,210,80,1180,2374
"344","2018-09",3,2018,"Gadbjerg",9,19,64,25,52,128,58,25,380,15,17,54,31,69,141,64,19,410,790
"345","2018-09",3,2018,"Give",59,58,286,167,329,761,462,262,2384,67,73,298,201,330,730,399,164,2262,4646
"346","2018-09",3,2018,"Givskud",17,7,28,24,48,96,53,17,290,13,13,34,23,54,114,48,19,318,608
"347","2018-09",3,2018,"Gravens/Ågård",15,20,102,44,75,247,106,45,654,24,19,128,75,78,242,106,22,694,1348
"348","2018-09",3,2018,"Grejs",24,24,99,34,81,185,81,15,543,25,21,105,54,78,173,71,15,542,1085
"349","2018-09",3,2018,"Gårslev",22,20,78,32,82,181,95,26,536,23,17,91,35,74,183,104,20,547,1083
"350","2018-09",3,2018,"Jelling",33,57,259,169,239,607,292,127,1783,48,56,291,195,206,589,240,80,1705,3488
"351","2018-09",3,2018,"Jerlev",16,8,51,26,47,119,59,6,332,10,11,52,26,45,131,56,7,338,670
"352","2018-09",3,2018,"Ny Højen",17,6,53,30,50,127,52,12,347,9,15,55,34,54,117,69,7,360,707
"353","2018-09",3,2018,"Nørup",7,8,50,28,45,128,52,24,342,6,17,39,34,65,108,69,12,350,692
"354","2018-09",3,2018,"Skibet",34,35,205,69,146,398,156,29,1072,40,37,214,96,141,366,147,30,1071,2143
"355","2018-09",3,2018,"Skærup",16,9,40,15,42,91,48,2,263,10,11,33,16,33,101,48,3,255,518
"356","2018-09",3,2018,"Smidstrup",11,8,66,25,72,117,44,23,366,16,14,75,29,61,148,37,17,397,763
"357","2018-09",3,2018,"Thyregod",21,31,101,62,114,224,95,47,695,20,30,90,64,133,246,101,28,712,1407
"358","2018-09",3,2018,"Vandel",9,11,64,31,66,127,59,13,380,10,15,50,41,63,138,63,14,394,774
"359","2018-09",3,2018,"Vonge",13,14,39,22,53,86,50,14,291,12,11,26,27,69,110,46,7,308,599
"360","2018-09",3,2018,"Ødsted",26,22,117,50,125,243,117,28,728,28,36,139,53,108,247,105,20,736,1464
"361","2018-12",4,2018,"Vejle",1023,862,3521,3051,5424,9216,4377,1684,29158,1038,918,3628,3175,5811,9022,3726,991,28309,57467
"362","2018-12",4,2018,"Andkær",7,3,18,11,30,59,15,4,147,9,5,29,8,25,59,14,7,156,303
"363","2018-12",4,2018,"Bredal",12,14,66,18,50,126,26,10,322,8,7,73,26,43,135,27,4,323,645
"364","2018-12",4,2018,"Bredsten",29,27,138,64,107,288,125,63,841,19,20,155,66,90,292,121,36,799,1640
"365","2018-12",4,2018,"Brejning",43,49,181,119,212,555,236,49,1444,59,48,231,128,228,540,237,48,1519,2963
"366","2018-12",4,2018,"Børkop",99,123,473,188,519,896,436,141,2875,134,147,551,205,441,876,365,97,2816,5691
"367","2018-12",4,2018,"Egtved",35,31,139,68,179,355,236,153,1196,47,29,163,97,184,383,215,77,1195,2391
"368","2018-12",4,2018,"Gadbjerg",9,20,67,22,51,130,59,24,382,15,17,55,27,67,144,65,18,408,790
"369","2018-12",4,2018,"Give",60,58,281,166,340,764,461,266,2396,65,71,290,203,340,731,407,159,2266,4662
"370","2018-12",4,2018,"Givskud",15,8,27,28,45,93,53,18,287,13,10,34,26,50,113,49,19,314,601
"371","2018-12",4,2018,"Gravens/Ågård",16,18,100,46,70,245,107,42,644,21,21,118,81,78,237,107,24,687,1331
"372","2018-12",4,2018,"Grejs",20,27,97,38,84,189,75,19,549,28,21,103,54,82,174,71,17,550,1099
"373","2018-12",4,2018,"Gårslev",22,18,74,39,81,187,93,28,542,24,16,92,37,74,186,102,21,552,1094
"374","2018-12",4,2018,"Jelling",32,57,268,174,232,618,290,128,1799,46,59,295,188,204,579,247,77,1695,3494
"375","2018-12",4,2018,"Jerlev",16,8,50,28,45,121,58,6,332,10,10,50,24,46,133,54,7,334,666
"376","2018-12",4,2018,"Ny Højen",18,6,54,29,50,127,52,12,348,9,13,56,35,56,118,70,7,364,712
"377","2018-12",4,2018,"Nørup",8,6,52,28,47,126,53,24,344,6,16,40,32,64,109,67,14,348,692
"378","2018-12",4,2018,"Skibet",35,37,204,68,149,403,155,31,1082,45,35,213,99,142,367,143,34,1078,2160
"379","2018-12",4,2018,"Skærup",16,10,35,16,45,90,47,2,261,9,10,28,17,35,98,48,3,248,509
"380","2018-12",4,2018,"Smidstrup",13,6,68,23,70,119,43,26,368,18,11,79,27,57,150,38,15,395,763
"381","2018-12",4,2018,"Thyregod",21,29,98,57,110,227,93,44,679,22,27,90,61,130,246,100,29,705,1384
"382","2018-12",4,2018,"Vandel",9,11,63,30,67,125,61,13,379,9,16,49,43,62,137,62,16,394,773
"383","2018-12",4,2018,"Vonge",14,15,42,23,53,85,48,13,293,9,13,27,28,69,111,44,8,309,602
"384","2018-12",4,2018,"Ødsted",24,21,118,52,124,239,119,26,723,27,33,141,52,106,247,108,20,734,1457
